Dam,River,Photo,Indicators,FSC,This Week,Last Week,Last Year
Bon Accord Dam,Apies River,,Indicators,4.4,106.6,106.0,106.0
Bronkhorstspruit Dam,Bronkhorstspruit River,Photo,Indicators,57.0,100.0,100.0,101.8
Klipdrift Dam,Loopspruit River,Photo,Indicators,13.4,#102.5,102.5,102.4
Rietvlei Dam,Hennops River,Photo,Indicators,12.3,74.1,58.3,71.1
Roodeplaat Dam,Pienaars River,Photo,Indicators,41.2,100.4,100.5,100.4
Total,Total,Total,Total,128.1,98.1,96.6,98.6
Katse Dam,Malibamatso River,Photo,Indicators,1519.2,84.5,85.4,90.7
Mohale Dam,Senqunyane River,Photo,Indicators,843.6,101.7,101.7,102.1
Total,Total,Total,Total,2362.6,90.6,91.2,94.8
Blyderivierpoort Dam,Blyde River,Photo,Indicators,54.4,100.4,100.4,97.2
Buffelskloof Dam,Waterval River,Photo,Indicators,5.3,100.2,100.2,100.5
Da Gama Dam,White Waters River,Photo,Indicators,13.6,99.3,100.3,96.7
Driekoppies Dam,Lomati River,Photo,Indicators,251.0,100.2,100.2,91.9
Grootdraai Dam,Vaal River,Photo,Indicators,349.8,97.1,98.6,99.2
Heyshope Dam,Assegaai River,Photo,Indicators,445.0,99.9,100.2,100.3
Inyaka Dam,Marite River,Photo,Indicators,123.7,100.2,100.1,97.3
Jericho Dam,Mpama River,Photo,Indicators,59.0,92.0,92.1,96.8
Klipkopjes Dam,Wit River,Photo,Indicators,11.8,99.4,99.4,94.6
Kwena Dam,Krokodil River,Photo,Indicators,158.7,100.3,100.3,99.9
Longmere Dam,Wit River,Photo,Indicators,4.3,100.4,101.1,89.1
Loskop Dam,Olifants River,Photo,Indicators,361.6,100.5,100.3,100.4
Middelburg Dam,Little Olifants River,Photo,Indicators,48.1,95.8,96.1,94.3
Morgenstond Dam,Ngwempisi River,Photo,Indicators,100.0,99.1,99.2,100.1
Nooitgedacht Dam,Komati River,Photo,Indicators,78.4,97.9,98.5,100.3
Ohrigstad Dam,Ohrigstad River,Photo,Indicators,13.5,97.0,97.8,73.7
Primkop Dam,Wit River,Photo,Indicators,1.9,101.1,101.1,91.3
Rhenosterkop Dam,Elands River,Photo,Indicators,204.6,100.5,100.5,100.4
Vygeboom Dam,Komati River,Photo,Indicators,78.1,100.4,100.5,100.1
Westoe Dam,Usutu River,Photo,Indicators,60.1,61.0,62.8,84.3
Witbank Dam,Olifants River,Photo,Indicators,104.1,99.1,99.2,100.8
Witklip Dam,Sand River,Photo,Indicators,12.6,100.3,100.3,98.3
Total,Total,Total,Total,2538.4,98.4,98.7,98.3
Boskop Dam,Mooi River,Photo,Indicators,20.0,102.7,102.8,102.5
Bospoort Dam,Hex River,,Indicators,15.8,101.9,101.9,102.0
